ID,Length,EffectiveLength,TPM,NumReads,Weight
"ENST00000415272","919","719.998","19.786296","462.916720","9998"
"ENST00000329276","2400","2200.991","10.941633","782.541427","9996"
"ENST00000380851","1230","1030.991","27.947378","936.273629","9998"
"ENST00000380843","1545","1345.991","49.608482","2169.726371","9998"
"ENST00000380605","2391","2191.991","13.927270","992.000000","10000"
"ENST00000474714","531","332.007","7.230044","78.000000","9997"
"ENST00000448755","1170","970.991","5.973661","188.478838","-8"
"ENST00000439542","1187","987.991","0.047382","1.521162","-6"
"ENST00000380445","2750","2550.991","14.812155","1227.818303","9979"
"ENST00000380443","1825","1625.991","4.588118","242.415093","9987"
"ENST00000431048","707","508.000","27.255620","449.911275","9956"
"ENST00000380325","1127","927.991","43.177788","1302.000000","10000"
"ENST00000348031","4469","4269.991","2.472067","343.000000","9995"
"ENST00000380266","2874","2674.991","13.897532","1208.000000","10000"
"ENST00000329152","5257","5057.991","0.153617","25.247890","9993"
"ENST00000380201","1128","928.991","28.147645","849.689799","9998"
"ENST00000399838","897","697.998","65.958434","1496.000000","9995"
"ENST00000453730","3111","2911.991","1.271374","120.301327","9998"
"ENST00000446916","3921","3721.991","3.187055","385.453323","9998"
"ENST00000399701","3009","2809.991","0.000000","0.000000","-3"
"ENST00000399683","933","733.998","32.703381","780.000000","9996"
"ENST00000379751","2840","2640.991","24.295856","2085.000000","10000"
"ENST00000340833","1978","1778.991","20.914411","1209.000000","9982"
"ENST00000379567","1791","1591.991","5.141563","265.976123","9988"
"ENST00000416600","1707","1507.991","12.816044","628.000000","9995"
"ENST00000497424","4815","4597.991","4.856040","725.533229","9991"
"ENST00000316562","2280","2080.991","11.471847","775.729809","9989"
"ENST00000610179","1807","1607.991","7.229345","377.736962","-9"
"ENST00000336095","7453","7253.991","3.775327","889.894676","9991"
"ENST00000457205","1669","1469.991","0.711799","34.000000","-16"
"ENST00000430350","2539","2339.991","2.747636","208.920123","9991"
"ENST00000457586","855","655.998","2.164181","46.132098","9996"
"ENST00000305817","3980","3780.991","0.000000","0.000000","0"
"ENST00000379376","5282","5082.991","26.543860","4384.200189","9998"
"ENST00000379400","5427","5227.991","7.039093","1195.799811","9998"
"ENST00000338244","6944","6744.991","10.976155","2405.683918","-11"
"ENST00000379299","1642","1442.991","45.347014","2126.273850","9971"
"ENST00000379143","1344","1144.991","326.428890","12145.000000","9998"
"ENST00000460006","9298","9098.991","8.320530","2460.091045","9986"
"ENST00000418646","4015","3815.991","13.250366","1643.017420","9998"
"ENST00000442185","627","428.002","21.288958","296.079043","9991"
"ENST00000378961","2550","2350.991","0.000000","0.000000","-2"
"ENST00000453074","1474","1274.991","10.874708","450.538157","9998"
"ENST00000378886","2859","2659.991","9.988206","863.325521","9990"
"ENST00000452938","1150","950.991","16.015041","494.892972","9995"
"ENST00000378827","3601","3401.991","0.388981","43.000000","10000"
"ENST00000246024","6169","5969.991","5.551816","1077.000000","9998"
"ENST00000378641","7295","7095.991","0.000000","0.000000","-9"
"ENST00000378380","3762","3562.991","0.000000","0.000000","-2"
"ENST00000254976","2053","1853.991","0.002221","0.133802","-2"
"ENST00000347364","6714","6514.991","15.314126","3241.999969","9995"
"ENST00000423891","3758","3558.991","2.372000","274.314348","9998"
"ENST00000254977","4686","4486.991","0.942068","137.355036","9964"
"ENST00000202816","3216","3016.991","7.609531","746.000000","10000"
"ENST00000377943","1588","1388.991","55.877732","2522.000000","9998"
"ENST00000474024","1853","1653.991","30.235233","1625.000000","9998"
"ENST00000398782","1191","991.991","17.233312","555.499057","-17"
"ENST00000481323","562","363.005","96.476681","1138.000000","9990"
"ENST00000377704","1781","1581.991","18.000123","925.308098","9995"
"ENST00000377681","3483","3283.991","11.758456","1254.755794","9988"
"ENST00000316358","2242","2042.991","6.432125","427.000000","9921"
"ENST00000329494","3432","3232.991","1.425735","149.778782","9990"
"ENST00000377603","2416","2216.991","5.274882","380.000000","10000"
"ENST00000337227","3861","3661.991","8.966856","1067.000000","10000"
"ENST00000262544","3176","2976.991","57.486840","5561.000000","9979"
"ENST00000608034","670","471.001","21.130531","323.399206","9997"
"ENST00000411646","505","306.007","24.020578","238.848195","9995"
"ENST00000377452","1387","1187.991","50.514330","1950.000000","10000"
"ENST00000255006","4505","4305.991","10.956254","1533.000000","9998"
"ENST00000334982","1260","1060.991","29.307046","1010.393608","9993"
"ENST00000377327","4370","4170.991","9.718300","1317.153809","9995"
"ENST00000377303","679","480.001","0.000000","0.000000","0"
"ENST00000310227","2826","2626.991","0.000000","0.000000","0"
"ENST00000427175","2623","2423.991","5.194135","409.120446","9997"
"ENST00000430571","3066","2866.991","47.616588","4436.000000","9995"
"ENST00000246006","6708","6508.991","5.541240","1172.000000","10000"
"ENST00000254998","1123","923.991","22.315172","670.000000","10000"
"ENST00000338121","4835","4635.991","0.000000","0.000000","-12"
"ENST00000398411","2095","1895.991","18.962984","1168.287817","9995"
"ENST00000376925","873","673.998","5.761930","126.192545","9993"
"ENST00000398409","832","632.998","39.113546","804.519637","9995"
"ENST00000447138","1962","1762.991","23.338579","1337.000000","9995"
"ENST00000542618","2228","2028.991","24.616794","1623.000000","9991"
"ENST00000376652","2750","2550.991","17.094405","1417.000000","9835"
"ENST00000216962","4134","3934.991","4.715839","602.989435","9998"
"ENST00000428458","734","534.999","10.297182","179.010565","9998"
"ENST00000471287","805","605.998","21.483980","423.051489","9991"
"ENST00000429262","1156","956.991","13.988610","435.000000","9998"
"ENST00000304788","3964","3764.991","2.043474","250.000000","10000"
"ENST00000538750","2474","2274.991","5.650652","417.719922","9995"
"ENST00000376398","5070","4870.991","0.000000","0.000000","0"
"ENST00000432499","1129","929.991","0.000000","0.000000","-3"
"ENST00000340852","1606","1406.991","48.905370","2235.912214","-17"
"ENST00000439267","781","581.998","50.392290","953.000000","9956"
"ENST00000340513","3605","3405.991","49.336473","5460.325611","9998"
"ENST00000339738","1454","1254.991","19.391781","790.797299","9971"
"ENST00000278979","1732","1532.991","12.593188","627.309983","9976"
"ENST00000202017","1385","1185.991","35.445609","1366.000000","10000"
"ENST00000262659","2523","2323.991","0.000000","0.000000","0"
"ENST00000534862","2217","2017.991","141.893209","9304.386630","9976"
"ENST00000398022","3978","3778.991","17.907808","2199.000000","9998"
"ENST00000246229","5705","5505.991","9.345312","1672.000000","10000"
"ENST00000375730","1507","1307.991","8.219920","349.364845","9995"
"ENST00000539210","983","783.998","3.223817","82.128204","9995"
"ENST00000375712","6103","5903.991","6.831583","1310.611611","9998"
"ENST00000375687","7031","6831.991","6.083217","1350.478123","9977"
"ENST00000306058","6591","6391.991","23.927101","4969.734563","9983"
"ENST00000375677","541","342.005","15.567049","173.000000","9993"
"ENST00000608990","5076","4876.991","0.000000","0.000000","-2"
"ENST00000278980","1900","1700.991","5.503457","304.189708","9993"
"ENST00000375571","2623","2423.991","100.043365","7880.000000","10000"
"ENST00000473997","1930","1730.991","19.242516","1082.339653","9970"
"ENST00000217381","2342","2142.991","2.010485","140.000000","10000"
"ENST00000342704","2864","2664.991","0.000000","0.000000","-23"
"ENST00000375279","7617","7417.991","1.471009","354.575510","9959"
"ENST00000375238","1942","1742.991","1.344035","76.122402","9976"
"ENST00000343380","2503","2303.991","12.769391","956.000000","10000"
"ENST00000344022","989","789.998","4.869417","125.000000","9993"
"ENST00000342427","3661","3461.991","1.494214","168.091488","9998"
"ENST00000217402","1646","1446.991","134.413956","6320.000000","10000"
"ENST00000432859","610","411.003","0.000000","0.000000","0"
"ENST00000440595","660","461.001","1.092030","16.358486","9998"
"ENST00000413297","766","566.999","84.533597","1557.466492","9976"
"ENST00000448364","1204","1004.991","35.410797","1156.391038","9957"
"ENST00000246194","1789","1589.991","19.319282","998.142469","9941"
"ENST00000374980","2656","2456.991","61.574569","4916.000000","10000"
"ENST00000217426","2143","1943.991","35.463958","2240.208128","9998"
"ENST00000538132","2366","2166.991","75.549330","5319.791872","9998"
"ENST00000300469","1464","1264.991","63.714927","2619.000000","10000"
"ENST00000417166","1072","872.991","7.466407","211.801114","9995"
"ENST00000374846","1044","844.991","145.139325","3985.143781","9995"
"ENST00000374837","961","761.998","4.361771","108.000000","9995"
"ENST00000374820","1592","1392.991","1.294219","58.581856","9988"
"ENST00000414082","442","243.009","3.492898","27.581374","9995"
"ENST00000374796","9311","9111.991","3.843531","1138.021949","9998"
"ENST00000359003","7081","6881.991","1.609737","359.978051","9998"
"ENST00000336431","2642","2442.991","3.148242","249.917639","9998"
"ENST00000427420","615","416.003","1.633584","22.082361","9998"
"ENST00000484354","517","318.007","1.812621","18.730534","9981"
"ENST00000488172","648","449.002","18.142420","264.698042","9971"
"ENST00000216951","1919","1719.991","50.338759","2813.426512","9993"
"ENST00000252015","3226","3026.991","37.342455","3673.000000","9986"
"ENST00000542871","1545","1345.991","10.076742","440.726496","9979"
"ENST00000246186","4412","4212.991","0.752384","103.000000","10000"
"ENST00000374436","1252","1052.991","22.718964","777.356125","9990"
"ENST00000374443","1017","817.991","69.260426","1840.943638","9995"
"ENST00000456600","551","352.005","34.423874","393.745761","9993"
"ENST00000349714","2188","1988.991","30.016635","1940.000000","9798"
"ENST00000397524","1419","1219.991","0.399000","15.817451","9977"
"ENST00000422671","2648","2448.991","5.491454","437.000000","9997"
"ENST00000416206","1235","1035.991","114.748473","3862.866894","-65"
"ENST00000454819","827","627.998","2.456547","50.129171","9998"
"ENST00000374114","6662","6462.991","11.848398","2488.285101","9920"
"ENST00000359646","5332","5132.991","13.440083","2241.709951","9974"
"ENST00000412056","998","798.997","66.221993","1719.309820","-186"
"ENST00000540053","2011","1811.991","8.031052","472.863067","9972"
"ENST00000374078","498","299.007","189.461519","1840.812970","9979"
"ENST00000434927","716","517.000","41.526676","697.629441","9951"
"ENST00000397370","612","413.003","31.742106","425.987102","9993"
"ENST00000374000","1814","1614.991","5.762581","302.408561","9981"
"ENST00000305978","902","702.998","13.791087","315.035621","9998"
"ENST00000373991","1727","1527.991","23.865889","1184.964379","9998"
"ENST00000565493","5339","5139.991","17.135639","2862.000000","10000"
"ENST00000397286","1466","1266.991","15.212337","626.291258","9995"
"ENST00000373907","3337","3137.991","26.954374","2748.450290","-15"
"ENST00000279022","1199","999.991","7.727148","251.085817","9998"
"ENST00000346786","1024","824.991","42.932574","1150.914183","9998"
"ENST00000561398","797","597.998","26.303243","511.112308","9984"
"ENST00000344795","1114","914.991","46.254010","1375.222716","9982"
"ENST00000342422","896","696.998","9.301275","210.659528","9989"
"ENST00000360672","2171","1971.991","0.764688","49.000000","9998"
"ENST00000373773","2098","1898.991","16.562317","1022.000000","9978"
"ENST00000426836","2441","2241.991","14.646109","1066.996640","-43"
"ENST00000357779","4599","4399.991","2.468971","353.000000","-12"
"ENST00000525052","763","563.999","0.000000","0.000000","-3"
"ENST00000400441","3336","3136.991","1.863946","190.000000","9947"
"ENST00000456102","791","591.998","25.204519","484.848394","9994"
"ENST00000437329","520","321.007","60.001855","625.872174","9991"
"ENST00000373605","1915","1715.991","15.175431","846.180360","9973"
"ENST00000358208","3748","3548.991","3.052386","352.007021","-13"
"ENST00000373558","4304","4104.991","12.562442","1675.688202","-11"
"ENST00000432507","591","392.004","7.030973","89.559871","9961"
"ENST00000346199","1209","1009.991","0.000000","0.000000","0"
"ENST00000414080","581","382.005","11.942024","148.235992","-36"
"ENST00000373473","1493","1293.991","58.149967","2445.049212","9986"
"ENST00000373459","831","631.998","1.119966","23.000000","9993"
"ENST00000449821","3791","3591.991","13.553901","1582.000000","9997"
"ENST00000536724","2041","1841.991","4.336334","259.547647","9986"
"ENST00000373403","1018","818.991","12.039024","320.388713","9982"
"ENST00000413755","648","449.002","8.018959","116.996669","9993"
"ENST00000456953","546","347.005","5.872082","66.211759","9995"
"ENST00000436764","973","773.998","2.655674","66.791572","9989"
"ENST00000449351","954","754.998","6.644078","163.000000","9959"
"ENST00000397038","8639","8439.991","7.552150","2071.188251","-34"
"ENST00000373345","2841","2641.991","0.000000","0.000000","0"
"ENST00000243903","2236","2036.991","5.725892","379.000000","10000"
"ENST00000299824","6251","6051.991","17.002779","3343.683350","9998"
"ENST00000373331","6106","5906.991","30.651304","5883.316650","9998"
"ENST00000217429","2429","2229.991","9.839647","713.000000","10000"
"ENST00000361337","3738","3538.991","63.906031","7349.000000","10000"
"ENST00000244007","5285","5085.991","13.348208","2206.000000","9995"
"ENST00000421422","8838","8638.991","1.599471","449.000000","9945"
"ENST00000373257","4363","4163.991","0.535474","72.452776","9996"
"ENST00000373233","10818","10618.991","3.493423","1205.428284","9983"
"ENST00000244020","3683","3483.991","43.026316","4871.000000","10000"
"ENST00000341458","2164","1964.991","0.000000","0.000000","-6"
"ENST00000396863","2432","2232.991","37.061161","2689.136934","9998"
"ENST00000217026","2639","2439.991","6.430702","509.863066","9998"
"ENST00000373003","835","635.998","0.000000","0.000000","0"
"ENST00000341197","1880","1680.991","45.036312","2460.000000","9975"
"ENST00000372980","4787","4587.991","0.037105","5.531695","9998"
"ENST00000255174","1572","1372.991","28.460416","1269.742955","9998"
"ENST00000439943","1441","1241.991","3.444209","139.000000","9992"
"ENST00000396825","4597","4397.991","0.888674","127.000000","10000"
"ENST00000411544","812","612.998","0.122767","2.445380","-6"
"ENST00000342374","4445","4245.991","20.960630","2891.947091","9989"
"ENST00000372889","1489","1289.991","77.867566","3264.000000","9965"
"ENST00000372874","1539","1339.991","68.027481","2962.055215","9998"
"ENST00000537820","1128","928.991","97.822102","2952.944785","9998"
"ENST00000372839","3109","2909.991","132.523945","12531.207919","9986"
"ENST00000217073","1851","1651.991","0.933731","50.122907","-31"
"ENST00000372824","2223","2023.991","4.189164","275.513504","9965"
"ENST00000372813","2062","1862.991","38.736929","2345.000000","10000"
"ENST00000434401","2065","1865.991","0.000000","0.000000","0"
"ENST00000372801","2038","1838.991","10.344065","618.127023","9988"
"ENST00000499879","5217","5017.991","14.601935","2380.933354","9991"
"ENST00000372785","775","575.998","0.000000","0.000000","0"
"ENST00000426004","2915","2715.991","5.302865","468.000000","9979"
"ENST00000372720","1481","1281.991","0.000000","0.000000","-18"
"ENST00000372712","1537","1337.991","2.468535","107.324605","9985"
"ENST00000372689","1971","1771.991","17.575678","1012.000000","9946"
"ENST00000357199","1268","1068.991","0.000000","0.000000","0"
"ENST00000435014","930","730.998","21.512835","511.000000","9988"
"ENST00000243893","476","277.007","5.836400","52.534316","9982"
"ENST00000352551","665","466.001","42.980653","650.828502","9971"
"ENST00000372568","914","714.998","52.106130","1210.600137","9971"
"ENST00000462307","1043","843.991","0.401096","11.000000","9983"
"ENST00000426915","814","614.998","27.733349","554.221358","9996"
"ENST00000255152","2773","2573.991","2.115382","176.930511","9998"
"ENST00000372523","2769","2569.991","5.544246","463.000000","9998"
"ENST00000372518","1278","1078.991","1.090193","38.223301","9998"
"ENST00000607482","403","204.011","9.599837","63.639115","9989"
"ENST00000354880","1820","1620.991","0.000000","0.000000","-17"
"ENST00000372459","1972","1772.991","22.675127","1306.360885","9974"
"ENST00000372431","1743","1543.991","9.108871","457.000000","-30"
"ENST00000372409","2747","2547.991","15.991278","1324.000000","10000"
"ENST00000426788","3881","3681.991","3.649263","436.611160","9998"
"ENST00000372330","2336","2136.991","0.100806","7.000000","10000"
"ENST00000290231","3220","3020.991","15.057335","1478.102257","9998"
"ENST00000372285","1729","1529.991","51.981219","2584.295817","9998"
"ENST00000372276","1623","1423.991","80.064392","3704.704183","9998"
"ENST00000543605","1454","1254.991","37.199585","1517.000000","9955"
"ENST00000425546","1344","1144.991","14.415953","536.354958","9961"
"ENST00000457685","3487","3287.991","3.493810","373.281862","9988"
"ENST00000279028","2043","1843.991","1.401889","84.000000","10000"
"ENST00000372114","3515","3315.991","6.813700","734.181265","9998"
"ENST00000458360","3729","3529.991","19.232023","2206.000000","9818"
"ENST00000437920","750","550.999","8.433715","151.000000","10000"
"ENST00000341724","7774","7574.991","10.691556","2631.661420","9986"
"ENST00000437955","814","614.998","4.604472","92.015449","9995"
"ENST00000361612","4183","3983.991","21.005932","2719.363403","-28"
"ENST00000416742","3544","3344.991","4.008059","435.648300","9995"
"ENST00000371941","6636","6436.991","38.494957","8051.813345","9998"
"ENST00000371917","8852","8652.991","7.539849","2120.000000","10000"
"ENST00000542325","2689","2489.991","50.809249","4111.000000","9995"
"ENST00000371802","3154","2954.991","0.121034","11.621746","-45"
"ENST00000437404","1085","885.991","20.553027","591.714106","-38"
"ENST00000371764","2643","2443.991","39.412847","3130.000000","9998"
"ENST00000371754","5235","5035.991","4.426348","724.331578","9984"
"ENST00000371711","4722","4522.991","14.166026","2082.000000","10000"
"ENST00000541138","2163","1963.991","3.603972","230.000000","9991"
"ENST00000422556","4138","3938.991","2.387444","305.580161","9995"
"ENST00000289431","4022","3822.991","0.000000","0.000000","-7"
"ENST00000543716","1669","1469.991","3.860878","184.419839","9995"
"ENST00000244061","2440","2240.991","40.978097","2984.000000","10000"
"ENST00000371674","2133","1933.991","24.767948","1556.508117","9965"
"ENST00000420027","2179","1979.991","57.958246","3728.939678","9972"
"ENST00000341698","2757","2557.991","0.000000","0.000000","-49"
"ENST00000371652","2198","1998.991","14.148088","919.000000","-22"
"ENST00000303004","1837","1637.991","1.277587","68.000000","10000"
"ENST00000541713","1632","1432.991","32.492908","1513.000000","9998"
"ENST00000445038","365","166.013","116.045023","626.000000","-11"
"ENST00000371584","1073","873.991","17.463914","495.969939","9982"
"ENST00000244051","2458","2258.991","5.285795","388.000000","10000"
"ENST00000610033","2740","2540.991","0.584688","48.276303","9987"
"ENST00000609943","5690","5490.991","0.945199","168.647961","9981"
"ENST00000371515","3040","2840.991","7.474331","690.000000","9984"
"ENST00000302342","5633","5433.991","17.431820","3078.000000","-8"
"ENST00000371419","1462","1262.991","12.938603","531.000000","10000"
"ENST00000451915","584","385.005","31.733462","397.000000","9986"
"ENST00000428552","554","355.005","21.585274","249.000000","9993"
"ENST00000435342","437","238.009","36.591929","283.000000","10000"
"ENST00000357348","1476","1276.991","52.468907","2177.191982","9986"
"ENST00000543500","1383","1183.991","53.700095","2066.000000","10000"
"ENST00000395841","2639","2439.991","16.529245","1310.533655","9978"
"ENST00000356208","2382","2182.991","34.899707","2475.600953","9993"
"ENST00000440234","686","487.001","0.688850","10.900878","9995"
"ENST00000371219","760","560.999","69.201812","1261.498169","9995"
"ENST00000341744","4845","4645.991","3.583524","540.997956","9976"
"ENST00000244040","8670","8470.991","3.571185","983.000000","10000"
"ENST00000475243","7936","7736.991","1.648774","414.515036","9998"
"ENST00000395802","1834","1634.991","15.725931","835.484964","9998"
"ENST00000361770","4897","4697.991","18.715055","2857.000000","9907"
"ENST00000525967","1917","1717.991","10.568765","590.000000","9995"
"ENST00000596276","594","395.004","0.077910","1.000000","10000"
"ENST00000604005","693","494.001","5.312238","85.273100","9918"
"ENST00000313949","2578","2378.991","171.973660","13294.183122","9874"
"ENST00000306090","1642","1442.991","295.636095","13862.066032","9897"
"ENST00000344018","2255","2055.991","32.058466","2141.760261","-2"
"ENST00000217131","1495","1295.991","235.370720","9912.000000","10000"
"ENST00000243997","3665","3465.991","156.978083","17679.639051","9988"
"ENST00000355937","2626","2426.991","2.353076","185.571393","9998"
"ENST00000371033","943","743.998","34.225649","827.428607","9998"
"ENST00000370996","3459","3259.991","2.388346","253.000000","10000"
"ENST00000348616","3182","2982.991","0.000000","0.000000","-5"
"ENST00000252996","4628","4428.991","0.709006","102.037999","9998"
"ENST00000279068","2548","2348.991","29.202618","2229.000000","-45"
"ENST00000370861","773","573.999","77.862037","1452.257459","9988"
"ENST00000370873","996","796.998","41.708781","1080.169098","9984"
"ENST00000370858","925","725.998","153.048670","3610.539151","9991"
"ENST00000421564","3703","3503.991","3.645411","415.065295","-11"
"ENST00000436421","1547","1347.991","4.037431","176.847503","9992"
"ENST00000370823","2929","2714.991","4.723413","416.707392","9985"
"ENST00000439951","1780","1580.991","7.338462","377.000000","9993"
"ENST00000253003","1371","1171.991","88.648481","3376.000000","10000"
"ENST00000370677","1674","1474.991","0.000000","0.000000","0"
"ENST00000370562","1002","802.991","496.202369","12947.213664","9989"
"ENST00000450116","418","219.010","814.012248","5792.974581","9986"
"ENST00000343986","344","145.014","2867.347511","13511.260278","9988"
"ENST00000453274","775","575.998","6.251116","117.000000","9998"
"ENST00000217159","2776","2576.991","1.663496","139.296948","9995"
"ENST00000370487","1636","1436.991","12.506964","584.000000","10000"
"ENST00000450048","553","354.005","27.818472","320.000000","9993"
"ENST00000343916","2485","2285.991","0.565416","42.000000","9998"
"ENST00000335351","2456","2256.991","7.663013","562.000000","9998"
"ENST00000354665","2707","2507.991","5.257775","428.484281","9975"
"ENST00000395340","7551","7351.991","3.126751","746.973573","9976"
"ENST00000266069","1566","1366.991","39.734905","1765.000000","10000"
"ENST00000411611","565","366.005","11.584975","137.781029","9995"
"ENST00000370351","2539","2339.991","3.990733","303.440635","9995"
"ENST00000370346","1057","857.991","1.434731","40.000000","10000"
"ENST00000607802","3408","3208.991","0.661719","69.000000","9998"
"ENST00000447910","896","696.998","0.000000","0.000000","0"
"ENST00000433161","1882","1682.991","0.822856","45.000000","10000"
"ENST00000370333","1933","1733.991","20.782757","1171.000000","9995"
"ENST00000395306","593","394.004","4.333466","55.480902","9995"
"ENST00000217169","1368","1168.991","0.000000","0.000000","-5"
"ENST00000549047","1040","840.991","13.261574","362.404197","-120"
"ENST00000370275","3467","3267.991","2.431852","258.240838","9854"
"ENST00000549076","913","713.998","7.620069","176.792151","9996"
"ENST00000370224","3015","2815.991","0.000000","0.000000","-37"
"ENST00000298049","1748","1548.991","111.774811","5626.000000","-2"
"ENST00000370177","627","428.002","163.989741","2280.709398","9998"
"ENST00000542869","1481","1281.991","0.161095","6.710778","9998"
"ENST00000467148","8064","7864.991","3.834607","980.000000","9998"
"ENST00000370077","4223","4023.991","6.416497","838.999986","9995"
"ENST00000370053","2255","2055.991","1.796194","120.000000","9998"
"ENST00000370018","4955","4755.991","6.962485","1076.000000","9958"
"ENST00000369996","1124","924.991","1.064647","32.000000","9998"
"ENST00000217224","1374","1174.991","14.180470","541.417163","9981"
"ENST00000440854","2614","2414.991","1.920749","150.727728","9969"
"ENST00000609142","1697","1497.991","13.350590","649.855109","9973"
"ENST00000355969","1871","1671.991","14.872039","808.000000","9979"
"ENST00000444951","451","252.009","15.020436","123.000000","9995"
"ENST00000266077","1731","1531.991","15.467767","770.000000","10000"
"ENST00000245663","5185","4985.991","1.598606","259.000000","9993"
"ENST00000369916","1776","1576.991","3.258970","167.000000","9998"
"ENST00000346249","2297","2097.991","20.692430","1410.658928","9979"
"ENST00000351424","2302","2102.991","16.582695","1133.181448","9977"
"ENST00000217121","2362","2162.991","0.898624","63.159624","9976"
"ENST00000369911","674","475.001","12.463340","192.369252","9998"
"ENST00000360864","5213","5013.991","7.884748","1284.630748","9998"
"ENST00000369892","1827","1627.991","14.517851","768.000000","9977"
"ENST00000369886","2181","1981.991","1.370894","88.290206","9998"
"ENST00000450107","493","294.007","11.797682","112.709794","9998"
"ENST00000266079","3044","2844.991","87.618777","8100.000000","9998"
"ENST00000358393","1466","1266.991","8.234160","339.000000","9992"
"ENST00000450537","5926","5726.991","6.446569","1199.670798","9995"
"ENST00000340356","1723","1523.991","2.443408","121.000000","10000"
"ENST00000343484","1235","1035.991","4.415061","148.627628","9967"
"ENST00000395053","1733","1533.991","22.727928","1132.894695","9975"
"ENST00000395042","1593","1393.991","21.663849","981.301527","9998"
"ENST00000332298","1489","1289.991","4.597108","192.698473","9998"
"ENST00000536311","5614","5414.991","0.000000","0.000000","-2"
"ENST00000369758","3212","3012.991","3.872698","379.156377","9958"
"ENST00000308824","3843","3643.991","0.000000","0.000000","-41"
"ENST00000344577","1652","1452.991","0.000000","0.000000","-5"
"ENST00000285667","3986","3786.991","2.269616","279.288793","9998"
"ENST00000400564","1382","1182.991","76.143778","2927.000000","9995"
"ENST00000400202","7671","7471.991","0.000000","0.000000","-7"
"ENST00000400169","1445","1245.991","0.000000","0.000000","-4"
"ENST00000339775","1485","1285.991","17.708710","740.000000","9995"
"ENST00000400559","1593","1393.991","1.342783","60.823659","9988"
"ENST00000355189","673","474.001","0.000000","0.000000","-2"
"ENST00000456917","1600","1400.991","242.288770","11030.000000","10000"
"ENST00000400087","826","626.998","118.251881","2409.247044","9980"
"ENST00000354828","5120","4920.991","5.084298","813.000000","9995"
"ENST00000357903","3543","3343.991","0.000000","0.000000","-16"
"ENST00000493196","3094","2894.991","9.801144","922.000000","10000"
"ENST00000399975","2960","2760.991","23.930960","2147.000000","9987"
"ENST00000432178","556","357.005","79.537116","922.680720","9996"
"ENST00000540844","1774","1574.991","172.263737","8816.147209","9984"
"ENST00000419845","577","378.005","4.559149","56.000000","9989"
"ENST00000389125","3140","2940.991","0.000000","0.000000","-9"
"ENST00000286827","7200","7000.991","0.417597","95.000000","9988"
"ENST00000449339","2233","2033.991","1.013722","67.000000","10000"
"ENST00000270142","966","766.998","116.319142","2899.028242","9998"
"ENST00000389995","865","665.998","146.294163","3165.971758","9998"
"ENST00000286835","4193","3993.991","18.269116","2371.000000","-7"
"ENST00000290130","1575","1375.991","14.895386","666.000000","10000"
"ENST00000382751","10832","10632.991","5.009965","1731.000000","9994"
"ENST00000534991","816","616.998","4.139875","83.000000","10000"
"ENST00000382549","2503","2303.991","23.033781","1724.459253","9933"
"ENST00000433931","4852","4652.991","0.473451","71.583649","9944"
"ENST00000290178","2564","2364.991","7.885627","606.000000","9998"
"ENST00000490358","1155","955.991","0.000000","0.000000","-9"
"ENST00000382264","1389","1189.991","31.033298","1199.992332","9941"
"ENST00000404220","4284","4084.991","7.285247","967.035306","9934"
"ENST00000290200","1963","1763.991","34.700500","1989.019319","9998"
